"min_lengths","max_lengths","Model","R2_mult","R2_adj"
5,8,"Simple",0.098219595751301,0.0552776717394582
6,8,"Simple",0.0881785459053476,0.044758476662745
7,8,"Simple",0.0913512735233314,0.0480822865482519
5,9,"Simple",0.076008086592178,0.032008471667996
6,9,"Simple",0.0684776193762816,0.0241194107751521
7,9,"Simple",0.0714390214762469,0.0272218320227349
8,9,"Full",0.330036623784227,0.224252932802789
5,10,"Full",0.305840114304504,0.196235921826268
6,10,"Full",0.289323991642803,0.177111990323246
7,10,"Full",0.394850935374114,0.299301083064764
8,10,"Full",0.3980155561663,0.302965380824137
9,10,"Full",0.469163893909155,0.385347666631654
5,11,"Simple",0.108043314421118,0.0655691865364094
6,11,"Full",0.357272777395395,0.255789531720983
7,11,"Full",0.357272777395395,0.255789531720983
8,11,"Full",0.361947584399838,0.261202466147181
9,11,"Full",0.422505693920076,0.331322382433772
10,11,"Full",0.41269499663653,0.319962627684404
5,12,"Simple",0.0923769413160761,0.0491567956644606
6,12,"Simple",0.0766677721712252,0.0326995708460455
7,12,"Simple",0.0766677721712252,0.0326995708460455
8,12,"Simple",0.0816277314707547,0.0378957186836478
9,12,"Simple",0.101698266253862,0.0589219932183318
10,12,"Simple",0.0970935455332481,0.0540980000824504
11,12,"Simple",0.0847269143912976,0.0411424817432642
5,13,"Simple",0.0714929691641003,0.0272783486481051
6,13,"Simple",0.0580252967349219,0.0131693584842038
7,13,"Simple",0.0580252967349219,0.0131693584842038
8,13,"Simple",0.0622807965872899,0.0176275011866845
9,13,"Simple",0.0769010656610592,0.032943973549681
10,13,"Simple",0.0849006287634378,0.0413244682283634
11,13,"Simple",0.0728548112127215,0.0287050403180891
12,13,"Simple",0.0728935862545213,0.0287456617904509
5,14,"Simple",0.0698230080728059,0.0255288656000823
6,14,"Simple",0.055907843806582,0.0109510744640382
7,14,"Simple",0.055907843806582,0.0109510744640382
8,14,"Simple",0.0602958155364531,0.0155479972286652
9,14,"Simple",0.0743932377839279,0.0303167252974482
10,14,"Simple",0.0758111913249186,0.031802200435629
11,14,"Simple",0.0714413632431385,0.0272242853023356
12,14,"Simple",0.0731513632849444,0.0290157139175607
13,14,"Full",0.287101609237414,0.174538705432795
5,15,"Simple",0.0609135383518401,0.0161951354162134
6,15,"Simple",0.0476922635445004,0.00234427609423848
7,15,"Simple",0.0476922635445004,0.00234427609423848
8,15,"Simple",0.0518571539736974,0.00670749463911147
9,15,"Full",0.297742073096836,0.186859242533178
10,15,"Full",0.320285921836857,0.212962646337414
11,15,"Full",0.300073602842519,0.189558908554495
12,15,"Full",0.308206934522264,0.198976450499463
13,15,"Full",0.300659005883267,0.19023674365431
14,15,"Full",0.306724018838276,0.197259390233793
5,16,"Simple",0.0643416802564669,0.0197865221734415
6,16,"Full",0.289618402838347,0.177452887497033
7,16,"Full",0.289618402838347,0.177452887497033
8,16,"Full",0.295043026711675,0.183734030929308
9,16,"Full",0.330206311179069,0.224449412944185
10,16,"Full",0.330219008969053,0.224464115648377
11,16,"Full",0.30820002311155,0.198968447813374
12,16,"Full",0.317520760376606,0.209760880436071
13,16,"Full",0.311148506296606,0.202382480975017
14,16,"Full",0.272546476703655,0.157685394077916
5,17,"Simple",0.0667949174472394,0.0223565801828222
6,17,"Simple",0.0525957562906216,0.00748126849493691
7,17,"Simple",0.0525957562906216,0.00748126849493691
8,17,"Simple",0.0570036046221691,0.0120990143660817
9,17,"Simple",0.0699662544519739,0.0256789332354012
10,17,"Simple",0.0715714498876315,0.0273605665489471
11,17,"Simple",0.06700671037314,0.0225784584861466
12,17,"Simple",0.0734260389349931,0.0293034693604689
13,17,"Simple",0.0718714393869287,0.0276748412624966
14,17,"Simple",0.0388767577720862,-0.0068910156673383
5,18,"Simple",0.0643929601873125,0.019840244005756
6,18,"Simple",0.0493554940397688,0.00408670804166245
7,18,"Simple",0.0493554940397688,0.00408670804166245
8,18,"Simple",0.0539359557828194,0.00888528701057267
9,18,"Simple",0.0656312965373099,0.0211375487533723
10,18,"Simple",0.0674641176165619,0.0230576470268743
11,18,"Simple",0.0625671955794712,0.0179275382261127
12,18,"Simple",0.0704605389155994,0.0261967550544374
13,18,"Simple",0.0652812596228937,0.02077084341446
14,18,"Simple",0.0449412566494579,-0.000537731129139463
5,19,"Simple",0.0680305017182897,0.0236510018001129
6,19,"Simple",0.0520737382898988,0.00693439249417971
7,19,"Simple",0.0520737382898988,0.00693439249417971
8,19,"Simple",0.0568327935601392,0.0119200694439554
9,19,"Simple",0.0713726622218871,0.0271523128038816
10,19,"Simple",0.0736809951200785,0.0295705663162728
11,19,"Simple",0.0685745795963756,0.0242209881485839
12,19,"Simple",0.065080615781455,0.0205606451043814
13,19,"Simple",0.0671187490431322,0.0226958323309003
14,19,"Simple",0.0506104529331877,0.00540142688238698
